name,country,region,lat,lon
Great Barrier Reef - Osprey Reef,Australia,Indo-Pacific,-13.8833,146.5667
Great Barrier Reef - Cod Hole,Australia,Indo-Pacific,-16.1167,145.9833
Coral Sea - Holmes Reef,Australia,Indo-Pacific,-16.4833,147.8667
Ribbon Reefs - No. 10,Australia,Indo-Pacific,-15.0833,145.7500
Raja Ampat - Misool,Indonesia,Indo-Pacific,-2.0833,130.1667
Raja Ampat - Cape Kri,Indonesia,Indo-Pacific,-0.5500,130.6833
Komodo - Batu Bolong,Indonesia,Indo-Pacific,-8.4667,119.7500
Komodo - Crystal Rock,Indonesia,Indo-Pacific,-8.3167,119.8833
Banda Sea - Gunung Api,Indonesia,Indo-Pacific,-4.5333,129.8667
Tulamben - USAT Liberty,Indonesia,Indo-Pacific,-8.2833,115.5833
Bunaken - Manado Tua,Indonesia,Indo-Pacific,1.6167,124.7500
Wakatobi - Coral Garden,Indonesia,Indo-Pacific,-5.3333,123.7500
Palau - Blue Corner,Palau,Indo-Pacific,7.1500,134.2167
Palau - German Channel,Palau,Indo-Pacific,7.2167,134.4167
Palau - Jellyfish Lake,Palau,Indo-Pacific,7.1667,134.3833
Tubbataha Reef,Philippines,Indo-Pacific,8.9167,119.8333
Apo Island,Philippines,Indo-Pacific,9.0833,123.2667
Malapascua - Monad Shoal,Philippines,Indo-Pacific,11.3333,124.1500
Sipadan Island,Malaysia,Indo-Pacific,4.1167,118.6333
Perhentian Islands,Malaysia,Indo-Pacific,5.9000,102.7500
Similan Islands,Thailand,Indo-Pacific,8.6500,97.6333
Richelieu Rock,Thailand,Indo-Pacific,9.3667,97.7833
Koh Tao - Chumphon Pinnacle,Thailand,Indo-Pacific,10.6667,99.8167
Ari Atoll - Maaya Thila,Maldives,Indian Ocean,3.9833,72.5333
North Male Atoll - Banana Reef,Maldives,Indian Ocean,4.2500,73.5333
Baa Atoll - Hanifaru Bay,Maldives,Indian Ocean,5.1500,72.9667
Aldabra Atoll,Seychelles,Indian Ocean,-9.4167,46.3333
Cosmoledo Atoll,Seychelles,Indian Ocean,-9.7000,47.5667
Sodwana Bay,South Africa,Indian Ocean,-27.5333,32.6833
Zanzibar - Mnemba Atoll,Tanzania,Indian Ocean,-5.8667,39.3667
Red Sea - Ras Mohammed,Egypt,Red Sea,27.7333,34.2500
Red Sea - Brother Islands,Egypt,Red Sea,26.1500,34.8667
Red Sea - Daedalus Reef,Egypt,Red Sea,24.9167,35.8667
Red Sea - Blue Hole Dahab,Egypt,Red Sea,28.5667,34.5333
Aqaba - Cedar Pride,Jordan,Red Sea,29.4833,34.9667
Cocos Island,Costa Rica,Pacific,5.5333,-87.0667
Galapagos - Wolf Island,Ecuador,Pacific,-1.3833,-91.8167
Galapagos - Darwin Island,Ecuador,Pacific,1.6667,-92.0000
Belize Barrier Reef - Blue Hole,Belize,Caribbean,17.3167,-87.5333
Turks and Caicos - Grace Bay,Turks and Caicos,Caribbean,21.8000,-72.2167
Bonaire - Klein Bonaire,Netherlands Antilles,Caribbean,12.1333,-68.3000
Cozumel - Palancar Reef,Mexico,Caribbean,20.3333,-87.0333
Cayman Islands - Stingray City,Cayman Islands,Caribbean,19.3833,-81.3667
Hawaii - Molokini Crater,USA,Pacific,20.6333,-156.4833
Hawaii - Kona Manta Ray Night Dive,USA,Pacific,19.8167,-156.0167
Fernando de Noronha,Brazil,Atlantic,-3.8500,-32.4167
Azores - Princess Alice Bank,Portugal,Atlantic,37.0000,-24.8333
Faial - Banco D. Joao de Castro,Portugal,Atlantic,38.2333,-26.6333
Ningaloo Reef,Australia,Indo-Pacific,-22.6667,113.7167
Lord Howe Island,Australia,Pacific,-31.5500,159.0833
